name,transform,n,mean_distance,normalized_distance,recall
whash_sym4_L1_16,jpeg_50,5,2.4,0.009375,1.0
whash_sym4_L1_16,jpeg_70,5,1.6,0.00625,1.0
whash_sym4_L1_16,rotate_+10,5,59.4,0.23203125,0.6
whash_sym4_L1_16,rotate_+5,5,44.2,0.17265625,1.0
whash_sym4_L1_16,rotate_-10,5,57.4,0.22421875,1.0
whash_sym4_L1_16,rotate_-5,5,44.2,0.17265625,1.0
whash_sym4_L1_16,salt_pepper,5,32.4,0.1265625,0.8
whash_sym4_L1_16,scale_0.8,5,0.8,0.003125,1.0
whash_sym4_L1_16,scale_1.2,5,0.8,0.003125,1.0
whash_sym4_L2_8,blur,5,1.2,0.01875,1.0
whash_sym4_L2_8,brightness_0.8,5,0.0,0.0,1.0
whash_sym4_L2_8,brightness_1.2,5,0.0,0.0,1.0
whash_sym4_L2_8,crop,5,14.0,0.21875,0.6
whash_sym4_L2_8,gaussian_noise,5,6.0,0.09375,0.8
whash_sym4_L2_8,jpeg_30,5,2.0,0.03125,1.0
whash_sym4_L2_8,jpeg_50,5,1.2,0.01875,1.0
whash_sym4_L2_8,jpeg_70,5,1.2,0.01875,1.0
whash_sym4_L2_8,rotate_+10,5,13.0,0.203125,0.8
whash_sym4_L2_8,rotate_+5,5,11.6,0.18125,0.6
whash_sym4_L2_8,rotate_-10,5,15.4,0.240625,0.6
whash_sym4_L2_8,rotate_-5,5,12.2,0.190625,0.8
whash_sym4_L2_8,salt_pepper,5,6.8,0.10625,0.8
whash_sym4_L2_8,scale_0.8,5,0.4,0.00625,1.0
whash_sym4_L2_8,scale_1.2,5,0.0,0.0,1.0
whash_sym4_L2_16,blur,5,5.6,0.021875,1.0
whash_sym4_L2_16,brightness_0.8,5,0.8,0.003125,1.0
whash_sym4_L2_16,brightness_1.2,5,0.0,0.0,1.0
whash_sym4_L2_16,crop,5,50.8,0.1984375,0.6
whash_sym4_L2_16,gaussian_noise,5,24.8,0.096875,0.8
